x,y
1.484384250916482406e+00,-1.059974575310355993e+00
1.481748047578747896e+00,-1.061252086050963550e+00
1.479102528327565613e+00,-1.062510116996428389e+00
1.476602824632863298e+00,-1.063677229876885066e+00
1.474095636944172005e+00,-1.064827272285463478e+00
1.471422604157419656e+00,-1.066030590807339307e+00
1.468743285009322053e+00,-1.067213054041251441e+00
1.466211646367005628e+00,-1.068309048855944354e+00
1.463672586737659209e+00,-1.069387944988892336e+00
1.461599249246345211e+00,-1.070253949993925646e+00
1.459521145449795609e+00,-1.071108482845084087e+00
1.457438343594590124e+00,-1.071951515217786088e+00
1.455350910161980593e+00,-1.072783020070837257e+00
1.452783206337080690e+00,-1.073792152550539836e+00
1.450211799842584304e+00,-1.074791814435486215e+00
1.447159661220945637e+00,-1.075967587735567221e+00
1.444104644841516238e+00,-1.077135857483385140e+00
1.440568248531202356e+00,-1.078478261895956969e+00
1.437028569913149090e+00,-1.079811972058429603e+00
1.433006266179439159e+00,-1.081316255775636836e+00
1.428980287419845840e+00,-1.082810650883143655e+00
1.424470467884725089e+00,-1.084472049036017349e+00
1.419956592877057000e+00,-1.086122360580578761e+00
1.414957691285263719e+00,-1.087936095508777568e+00
1.409954366138961523e+00,-1.089737542330960984e+00
1.404464858629649537e+00,-1.091698824030800763e+00
1.398970571913973560e+00,-1.093646612781186800e+00
1.392988977211455648e+00,-1.095750639388229031e+00
1.387002260058955549e+00,-1.097839965041360166e+00
1.380957358732564311e+00,-1.099935039759471378e+00
1.374908609968289230e+00,-1.102018979932858134e+00
1.368856031431496811e+00,-1.104091779486375602e+00
1.362799643669187821e+00,-1.106153431356754702e+00
